,n,p,a,heuristic,solution,OF,seconds
0,50,5,2,greedy,"{2, 3, 37, 40, 28}",600,0.21695459999864397
1,50,5,2,greedy,"{33, 1, 13, 14, 15}",607,0.06712999999945168
2,50,5,2,greedy,"{1, 35, 8, 44, 31}",627,0.021097400000144262
3,50,5,2,greedy,"{18, 3, 4, 43, 13}",591,0.05096899999989546
4,50,5,2,greedy,"{20, 38, 7, 9, 29}",610,0.02056810000067344
5,50,5,2,greedy,"{2, 23, 11, 28, 12}",548,0.032279499999276595
6,50,5,2,greedy,"{1, 8, 41, 10, 44}",577,0.016759199999796692
7,50,5,2,greedy,"{2, 35, 27, 12, 29}",558,0.019973900001787115
8,50,5,2,greedy,"{1, 4, 22, 14, 31}",582,0.017632300001423573
9,50,5,2,greedy,"{48, 21, 40, 9, 41}",579,0.020343799998954637
10,50,5,2,greedy,"{0, 50, 3, 41, 9}",573,0.019063900001128786
11,50,5,2,greedy,"{3, 35, 37, 7, 46}",553,0.014108999999734806
12,50,5,2,greedy,"{2, 4, 22, 26, 15}",659,0.018006199999945238
13,50,5,2,greedy,"{1, 5, 41, 31, 15}",575,0.02199540000037814
14,50,5,2,greedy,"{18, 2, 7, 11, 47}",554,0.016741800000090734
15,50,5,2,greedy,"{1, 18, 4, 5, 6}",619,0.024842000000717235
16,50,5,2,greedy,"{1, 37, 6, 8, 41}",633,0.020961100000931765
17,50,5,2,greedy,"{3, 4, 7, 23, 12}",693,0.02008399999976973
18,50,5,2,greedy,"{49, 34, 3, 20, 9}",490,0.016042600000218954
19,50,5,2,greedy,"{35, 6, 23, 13, 46}",559,0.016753699999753735
20,50,5,3,greedy,"{2, 37, 40, 28, 14}",659,0.02948169999945094
21,50,5,3,greedy,"{33, 3, 36, 13, 14}",688,0.016151899999385932
22,50,5,3,greedy,"{1, 35, 4, 5, 8}",794,0.015544199999567354
23,50,5,3,greedy,"{18, 19, 24, 42, 13}",611,0.015619400001014583
24,50,5,3,greedy,"{19, 38, 7, 29, 47}",653,0.01682960000107414
25,50,5,3,greedy,"{1, 2, 5, 23, 28}",761,0.017953500000658096
26,50,5,3,greedy,"{41, 11, 44, 45, 43}",617,0.013202199999795994
27,50,5,3,greedy,"{35, 8, 27, 28, 29}",665,0.01802760000100534
28,50,5,3,greedy,"{22, 23, 6, 44, 31}",786,0.019015899999430985
29,50,5,3,greedy,"{48, 40, 9, 14, 41}",712,0.01212630000009085
30,50,5,3,greedy,"{0, 1, 3, 41, 42}",880,0.028236799998921924
31,50,5,3,greedy,"{35, 37, 38, 39, 9}",676,0.019160699999702047
32,50,5,3,greedy,"{2, 4, 22, 8, 15}",774,0.023673699999562814
33,50,5,3,greedy,"{1, 5, 10, 31, 15}",765,0.021468899998581037
34,50,5,3,greedy,"{18, 4, 7, 11, 47}",585,0.0136992999996437
35,50,5,3,greedy,"{1, 3, 4, 6, 9}",745,0.01859830000103102
36,50,5,3,greedy,"{1, 37, 40, 41, 8}",706,0.017347000000881962
37,50,5,3,greedy,"{2, 3, 7, 4, 23}",784,0.017704899999444024
38,50,5,3,greedy,"{49, 34, 1, 20, 3}",750,0.01637259999915841
39,50,5,3,greedy,"{3, 23, 6, 7, 13}",682,0.014642499998444691
40,400,20,2,greedy,"{65, 194, 2, 1, 5, 6, 3, 9, 10, 13, 338, 18, 22, 23, 219, 220, 31, 48, 121, 125}",304,45.30797969999912
41,400,20,2,greedy,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 19, 20, 85, 22, 24, 32, 291, 53, 126}",350,42.23503260000143
42,400,20,2,greedy,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 397, 398, 14, 283, 28, 284, 27, 100, 114, 63}",309,50.214393199999904
43,400,20,2,greedy,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 19, 22, 32, 289, 39, 112, 113, 115, 63}",426,45.90969699999914
44,400,20,2,greedy,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 139, 11, 12, 14, 16, 87, 26, 291, 294, 39, 305}",297,48.00993759999983
45,400,20,2,greedy,"{1, 2, 3, 68, 4, 6, 7, 8, 9, 5, 10, 11, 15, 22, 23, 25, 26, 174, 46, 307}",358,51.16775469999993
46,400,20,2,greedy,"{1, 2, 3, 4, 5, 390, 6, 7, 9, 394, 8, 11, 10, 14, 12, 16, 18, 147, 19, 20}",336,45.846794999999474
47,400,20,2,greedy,"{1, 2, 67, 3, 5, 6, 7, 8, 9, 10, 11, 4, 13, 12, 14, 208, 15, 28, 32, 250}",354,45.35929319999923
48,400,20,2,greedy,"{1, 2, 3, 4, 5, 6, 66, 7, 8, 10, 331, 9, 15, 16, 18, 213, 25, 377, 378, 252}",362,49.7583924999999
49,400,20,2,greedy,"{1, 2, 3, 4, 5, 6, 8, 9, 330, 11, 12, 271, 17, 147, 148, 23, 89, 153, 27, 29}",341,50.71155879999969
50,400,20,2,greedy,"{1, 2, 3, 4, 5, 6, 7, 9, 12, 19, 20, 21, 24, 25, 284, 159, 35, 40, 234, 43}",277,48.212123400000564
51,400,20,2,greedy,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 16, 92, 284, 44, 114, 58, 61, 254}",362,51.08332840000003
52,400,20,2,greedy,"{1, 2, 4, 6, 7, 9, 12, 13, 14, 143, 17, 209, 27, 28, 348, 223, 224, 42, 380, 124}",315,50.27951249999933
53,400,20,2,greedy,"{1, 2, 3, 4, 5, 6, 7, 328, 9, 8, 10, 12, 17, 19, 279, 39, 104, 106, 177, 50}",336,58.758919799998694
54,400,20,2,greedy,"{1, 3, 4, 5, 6, 8, 9, 14, 15, 17, 20, 24, 27, 28, 30, 31, 235, 236, 382, 383}",308,55.48405660000026
55,400,20,2,greedy,"{128, 1, 2, 3, 4, 7, 8, 9, 74, 11, 13, 16, 20, 22, 29, 164, 229, 36, 298, 299}",302,52.859261999999944
56,400,20,2,greedy,"{1, 2, 3, 4, 5, 6, 199, 8, 201, 7, 10, 12, 11, 15, 16, 22, 24, 288, 236, 179}",299,44.19482269999935
57,400,20,2,greedy,"{1, 2, 3, 67, 4, 6, 201, 9, 11, 12, 77, 14, 15, 16, 78, 84, 23, 216, 25, 42}",348,50.25200720000066
58,400,20,2,greedy,"{1, 3, 131, 4, 7, 8, 9, 74, 12, 15, 16, 17, 20, 84, 24, 30, 33, 121, 122, 59}",348,38.37476500000048
59,400,20,2,greedy,"{1, 2, 3, 4, 261, 6, 135, 7, 9, 10, 11, 12, 14, 17, 18, 28, 31, 96, 34, 41}",270,43.111877500001356
60,400,20,3,greedy,"{65, 2, 194, 1, 5, 6, 3, 9, 13, 14, 338, 20, 22, 219, 220, 35, 125, 121, 317, 126}",425,30.428689500000473
61,400,20,3,greedy,"{1, 2, 3, 4, 5, 6, 7, 391, 11, 75, 13, 14, 19, 85, 22, 86, 291, 43, 240, 53}",480,29.794342099999994
62,400,20,3,greedy,"{1, 2, 3, 6, 326, 8, 9, 12, 397, 398, 16, 19, 341, 24, 283, 284, 29, 230, 359, 114}",389,34.427896999999575
63,400,20,3,greedy,"{1, 2, 3, 4, 5, 9, 13, 19, 22, 29, 30, 32, 289, 290, 112, 113, 115, 53, 123, 60}",431,30.758091699999568
64,400,20,3,greedy,"{1, 2, 130, 3, 5, 4, 7, 8, 9, 10, 139, 11, 16, 21, 31, 291, 292, 294, 305, 245}",395,32.29581329999928
65,400,20,3,greedy,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 33, 37, 365, 46, 307, 116}",511,33.58812659999967
66,400,20,3,greedy,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 394, 395, 10, 12, 14, 15, 16, 147, 19, 85, 105}",407,30.63882569999987
67,400,20,3,greedy,"{1, 2, 67, 4, 68, 5, 6, 3, 9, 10, 7, 12, 11, 8, 81, 19, 22, 28, 32, 250}",361,34.78495850000036
68,400,20,3,greedy,"{1, 2, 3, 4, 5, 6, 7, 13, 16, 213, 24, 25, 346, 287, 165, 52, 377, 378, 252, 253}",444,99.63340179999977
69,400,20,3,greedy,"{1, 2, 3, 4, 5, 8, 9, 330, 331, 16, 147, 148, 277, 21, 151, 27, 28, 29, 225, 104}",414,64.14101149999988
70,400,20,3,greedy,"{1, 2, 3, 5, 7, 200, 9, 328, 12, 13, 14, 15, 16, 83, 342, 24, 284, 39, 234, 235}",419,43.25082570000086
71,400,20,3,greedy,"{1, 2, 3, 5, 6, 7, 10, 12, 13, 14, 16, 19, 92, 93, 284, 114, 54, 58, 315, 61}",383,42.67398740000135
72,400,20,3,greedy,"{1, 2, 3, 260, 5, 6, 7, 4, 71, 10, 12, 13, 143, 16, 19, 348, 157, 223, 41, 61}",366,35.282770300000266
73,400,20,3,greedy,"{1, 2, 3, 4, 5, 6, 7, 328, 9, 10, 12, 14, 17, 19, 28, 350, 50, 53, 55, 313}",421,33.75699200000054
74,400,20,3,greedy,"{256, 1, 2, 4, 5, 6, 7, 8, 12, 77, 399, 88, 31, 32, 38, 169, 235, 236, 382, 383}",391,34.87109220000093
75,400,20,3,greedy,"{1, 2, 3, 4, 5, 198, 6, 8, 7, 9, 10, 14, 16, 25, 29, 164, 298, 299, 171, 174}",369,32.796714500000235
76,400,20,3,greedy,"{1, 2, 3, 4, 5, 6, 7, 8, 201, 10, 12, 14, 16, 82, 24, 30, 222, 97, 236, 191}",401,36.38487489999898
77,400,20,3,greedy,"{1, 2, 3, 67, 4, 6, 201, 9, 11, 12, 77, 78, 14, 15, 16, 19, 23, 283, 29, 113}",434,33.087492500000735
78,400,20,3,greedy,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 138, 10, 12, 13, 15, 16, 17, 84, 85, 22, 122}",404,29.9604877999991
79,400,20,3,greedy,"{1, 2, 3, 4, 261, 6, 135, 7, 9, 10, 11, 12, 8, 14, 206, 15, 18, 19, 96, 42}",366,37.203826499999195
