,instance,instance,instance,constructive,constructive,constructive,local search,local search,local search,improvement,improvement
,n,p,alpha,heuristic,OF,seconds,heuristic,OF,seconds,absolute,relative %
0,100,5,2,pdp_based,622,0.002374600000166538,interchange_first_1,489,1.029223799999727,133,21.382636655948552
1,500,25,2,pdp_based,238,0.1226171000002978,interchange_first_1,237,112.92345519999981,1,0.42016806722689076
2,100,5,2,pdp_based,644,0.0016166999998858955,interchange_first_1,638,0.36782369999991715,6,0.9316770186335404
3,500,25,2,pdp_based,236,0.1526771999997436,interchange_first_1,223,162.85300899999993,13,5.508474576271186
4,100,5,2,pdp_based,692,0.0015670000002501183,interchange_first_1,527,0.6557061999997131,165,23.843930635838152
5,500,25,2,pdp_based,258,0.11664479999990363,interchange_first_1,227,161.86986220000017,31,12.015503875968992
6,100,5,2,pdp_based,652,0.0014830000000074506,interchange_first_1,545,0.362536000000091,107,16.411042944785276
7,500,25,2,pdp_based,235,0.09645869999985734,interchange_first_1,228,75.06142360000013,7,2.9787234042553195
8,100,5,2,pdp_based,686,0.001763799999935145,interchange_first_1,539,0.9199828999999227,147,21.428571428571427
9,500,25,2,pdp_based,251,0.11343919999990248,interchange_first_1,235,110.84925539999995,16,6.374501992031872
10,100,5,2,pdp_based,783,0.005195300000195857,interchange_first_1,530,1.2925472000001719,253,32.31162196679438
11,500,25,2,pdp_based,267,0.1089073000002827,interchange_first_1,225,179.49986560000025,42,15.730337078651685
12,100,5,2,pdp_based,722,0.001509600000190403,interchange_first_1,534,0.4235972999999831,188,26.038781163434905
13,500,25,2,pdp_based,254,0.10729100000025937,interchange_first_1,226,87.33416609999995,28,11.023622047244094
14,100,5,2,pdp_based,737,0.0014894999999341962,interchange_first_1,537,0.6493728999998893,200,27.137042062415194
15,500,25,2,pdp_based,248,0.1723453999998128,interchange_first_1,230,146.32586820000006,18,7.258064516129033
16,100,5,2,pdp_based,691,0.0017802000002120622,interchange_first_1,554,0.26348849999976665,137,19.826338639652676
17,500,25,2,pdp_based,249,0.09480789999997796,interchange_first_1,228,95.47366139999986,21,8.433734939759036
18,100,5,2,pdp_based,577,0.001931499999955122,interchange_first_1,577,0.40142420000029233,0,0.0
19,500,25,2,pdp_based,231,0.2238142000001062,interchange_first_1,230,76.910124,1,0.4329004329004329
20,100,5,2,pdp_based,624,0.002248900000267895,interchange_first_1,604,0.26872580000008384,20,3.205128205128205
21,500,25,2,pdp_based,257,0.11704129999998258,interchange_first_1,231,116.4422284999996,26,10.116731517509727
22,100,5,2,pdp_based,630,0.004582799999752751,interchange_first_1,540,0.7062808999999106,90,14.285714285714285
23,500,25,2,pdp_based,236,0.12266099999988,interchange_first_1,228,122.85012889999962,8,3.389830508474576
24,100,5,2,pdp_based,717,0.001975000000129512,interchange_first_1,511,0.3810367999999471,206,28.730822873082285
25,500,25,2,pdp_based,253,0.08384440000008908,interchange_first_1,226,151.7059546999999,27,10.67193675889328
26,100,5,2,pdp_based,620,0.0018088000001625915,interchange_first_1,510,0.7852428999999574,110,17.741935483870968
27,500,25,2,pdp_based,261,0.10706720000007408,interchange_first_1,228,104.29750409999997,33,12.643678160919542
28,100,5,2,pdp_based,673,0.0017905999998220068,interchange_first_1,528,0.5908765000003768,145,21.545319465081725
29,500,25,2,pdp_based,253,0.09799969999994573,interchange_first_1,225,109.43722810000008,28,11.067193675889328
30,100,5,2,pdp_based,611,0.001630499999919266,interchange_first_1,611,0.12698550000004616,0,0.0
31,500,25,2,pdp_based,235,0.0856152999999722,interchange_first_1,233,93.05438869999989,2,0.851063829787234
32,100,5,2,pdp_based,604,0.0015520000001743028,interchange_first_1,587,0.23408689999996568,17,2.814569536423841
33,500,25,2,pdp_based,247,0.08586640000021362,interchange_first_1,221,181.89564879999944,26,10.526315789473683
34,100,5,2,pdp_based,605,0.008857099999659113,interchange_first_1,513,0.7157622000004267,92,15.206611570247933
35,500,25,2,pdp_based,241,0.11636799999996583,interchange_first_1,232,80.33022429999983,9,3.7344398340248963
36,100,5,2,pdp_based,703,0.0021921000006841496,interchange_first_1,513,0.5286538000000292,190,27.027027027027028
37,500,25,2,pdp_based,247,0.10309400000005553,interchange_first_1,231,67.98978660000012,16,6.477732793522267
38,100,5,2,pdp_based,646,0.0021972999993522535,interchange_first_1,517,0.5219176999999036,129,19.96904024767802
39,500,25,2,pdp_based,237,0.11578349999945203,interchange_first_1,214,233.46582229999967,23,9.70464135021097
40,100,5,3,pdp_based,798,0.006361700000525161,interchange_first_1,631,0.72629329999927,167,20.927318295739347
41,500,25,3,pdp_based,301,0.15167590000055498,interchange_first_1,279,123.22687100000076,22,7.308970099667775
42,100,5,3,pdp_based,876,0.004913599999781582,interchange_first_1,876,0.27169709999998304,0,0.0
43,500,25,3,pdp_based,309,0.1651761000002807,interchange_first_1,274,152.3018436000002,35,11.326860841423949
44,100,5,3,pdp_based,905,0.00320099999953527,interchange_first_1,675,0.8691935000006197,230,25.41436464088398
45,500,25,3,pdp_based,309,0.3447036000006847,interchange_first_1,260,345.11377859999993,49,15.857605177993527
46,100,5,3,pdp_based,806,0.0029098000004523783,interchange_first_1,630,0.9077434000000721,176,21.83622828784119
47,500,25,3,pdp_based,313,0.14446289999978035,interchange_first_1,313,78.39741080000022,0,0.0
48,100,5,3,pdp_based,840,0.002694599999813363,interchange_first_1,668,0.6160737000000154,172,20.476190476190474
49,500,25,3,pdp_based,307,0.12638990000050399,interchange_first_1,277,120.51525840000068,30,9.77198697068404
50,100,5,3,pdp_based,833,0.0021038999993834295,interchange_first_1,833,0.22698810000019876,0,0.0
51,500,25,3,pdp_based,300,0.16118180000012217,interchange_first_1,286,103.34975289999966,14,4.666666666666667
52,100,5,3,pdp_based,849,0.0026551999999355758,interchange_first_1,658,0.5918461999999636,191,22.497055359246172
53,500,25,3,pdp_based,307,0.12904960000014398,interchange_first_1,288,122.34784500000023,19,6.188925081433225
54,100,5,3,pdp_based,888,0.0020602999993570847,interchange_first_1,712,0.4660780000003797,176,19.81981981981982
55,500,25,3,pdp_based,328,0.12194469999940338,interchange_first_1,286,125.4509723000001,42,12.804878048780488
56,100,5,3,pdp_based,796,0.0026275000000168802,interchange_first_1,796,0.2749121999995623,0,0.0
57,500,25,3,pdp_based,302,0.1389725000008184,interchange_first_1,289,89.93471250000039,13,4.304635761589404
58,100,5,3,pdp_based,856,0.0032051999996838276,interchange_first_1,648,0.6373278000000937,208,24.299065420560748
59,500,25,3,pdp_based,304,0.12613229999988107,interchange_first_1,289,116.97056229999998,15,4.934210526315789
60,100,5,3,pdp_based,892,0.0019837999998344458,interchange_first_1,639,0.5019340999997439,253,28.36322869955157
61,500,25,3,pdp_based,333,0.1418335999996998,interchange_first_1,285,135.2248193000005,48,14.414414414414415
62,100,5,3,pdp_based,832,0.0024793000002318877,interchange_first_1,630,0.3542776000003869,202,24.278846153846153
63,500,25,3,pdp_based,306,0.1136395999992601,interchange_first_1,271,226.25263879999966,35,11.437908496732026
64,100,5,3,pdp_based,820,0.0017684999993434758,interchange_first_1,820,0.21914540000034322,0,0.0
65,500,25,3,pdp_based,299,0.10311689999980445,interchange_first_1,277,168.49834029999965,22,7.357859531772576
66,100,5,3,pdp_based,819,0.0014810000002398738,interchange_first_1,627,0.45895870000003924,192,23.44322344322344
67,500,25,3,pdp_based,309,0.11570149999988644,interchange_first_1,276,121.1140719999994,33,10.679611650485436
68,100,5,3,pdp_based,851,0.0015211999998427927,interchange_first_1,851,0.2792899000005491,0,0.0
69,500,25,3,pdp_based,323,0.12270030000036058,interchange_first_1,276,252.90726330000052,47,14.551083591331269
70,100,5,3,pdp_based,879,0.0021036999996795203,interchange_first_1,656,0.550722300000416,223,25.369738339021612
71,500,25,3,pdp_based,307,0.1076827000006233,interchange_first_1,289,123.67513060000056,18,5.863192182410423
72,100,5,3,pdp_based,855,0.0014992999995229184,interchange_first_1,840,0.27942410000014206,15,1.7543859649122806
73,500,25,3,pdp_based,299,0.10654309999972611,interchange_first_1,269,176.0382356,30,10.033444816053512
74,100,5,3,pdp_based,777,0.002085099999931117,interchange_first_1,639,0.423678099999961,138,17.760617760617762
75,500,25,3,pdp_based,314,0.11132009999982984,interchange_first_1,275,124.22713029999977,39,12.420382165605096
76,100,5,3,pdp_based,828,0.001767699999618344,interchange_first_1,828,0.25989579999986745,0,0.0
77,500,25,3,pdp_based,306,0.11570339999980206,interchange_first_1,281,125.34370810000019,25,8.169934640522875
78,100,5,3,pdp_based,897,0.0015904000001683016,interchange_first_1,615,0.6660055000002103,282,31.438127090301005
79,500,25,3,pdp_based,311,0.10638509999989765,interchange_first_1,276,127.3846653999999,35,11.254019292604502
80,100,10,2,pdp_based,447,0.0030508999998346553,interchange_first_1,327,1.0958490000002712,120,26.845637583892618
81,500,50,2,pdp_based,189,0.36343380000016623,interchange_first_1,159,53.24614360000032,30,15.873015873015872
82,100,10,2,pdp_based,406,0.003122600000097009,interchange_first_1,334,1.0936092000001736,72,17.733990147783253
83,500,50,2,pdp_based,183,0.41671899999983,interchange_first_1,153,67.81658900000002,30,16.39344262295082
84,100,10,2,pdp_based,415,0.0035627999995995197,interchange_first_1,404,0.33909700000003795,11,2.6506024096385543
85,500,50,2,pdp_based,183,0.3605491999996957,interchange_first_1,165,60.012205600000016,18,9.836065573770492
86,100,10,2,pdp_based,425,0.005158799999662733,interchange_first_1,359,0.5929374999996071,66,15.529411764705884
87,500,50,2,pdp_based,182,0.3705368000000817,interchange_first_1,182,51.279485699999896,0,0.0
88,100,10,2,pdp_based,418,0.003065700000661309,interchange_first_1,323,0.8120808999992732,95,22.727272727272727
89,500,50,2,pdp_based,194,0.3670790999995006,interchange_first_1,159,58.5894973000004,35,18.04123711340206
90,100,10,2,pdp_based,482,0.004279099999621394,interchange_first_1,307,0.8154035999996267,175,36.30705394190871
91,500,50,2,pdp_based,169,0.38041270000030636,interchange_first_1,160,57.12748120000015,9,5.325443786982249
92,100,10,2,pdp_based,453,0.0034151999998357496,interchange_first_1,357,0.35558769999988726,96,21.192052980132452
93,500,50,2,pdp_based,178,0.4078589999999167,interchange_first_1,156,64.74083119999977,22,12.359550561797752
94,100,10,2,pdp_based,432,0.0046380000003409805,interchange_first_1,359,0.3741490000002159,73,16.89814814814815
95,500,50,2,pdp_based,193,0.3749563000001217,interchange_first_1,152,83.29245439999977,41,21.243523316062177
96,100,10,2,pdp_based,390,0.0034497000006012968,interchange_first_1,377,0.18827690000034636,13,3.3333333333333335
97,500,50,2,pdp_based,197,0.37175759999990987,interchange_first_1,163,75.2346305000001,34,17.258883248730964
98,100,10,2,pdp_based,407,0.0037628999998560175,interchange_first_1,327,1.1937843999994584,80,19.656019656019655
99,500,50,2,pdp_based,210,0.38585000000057335,interchange_first_1,159,83.31655140000021,51,24.285714285714285
100,100,10,2,pdp_based,430,0.003051499999855878,interchange_first_1,337,0.7585795999984839,93,21.627906976744185
101,500,50,2,pdp_based,199,0.3865413000003173,interchange_first_1,163,71.02221309999914,36,18.090452261306535
102,100,10,2,pdp_based,446,0.0031249000003299443,interchange_first_1,322,1.0754455999995116,124,27.802690582959645
103,500,50,2,pdp_based,177,0.40497700000014447,interchange_first_1,165,55.28188909999881,12,6.779661016949152
104,100,10,2,pdp_based,401,0.003990299999713898,interchange_first_1,326,0.7582111000010627,75,18.703241895261847
105,500,50,2,pdp_based,184,0.40818709999985003,interchange_first_1,158,70.50551559999985,26,14.130434782608695
106,100,10,2,pdp_based,406,0.003007699999216129,interchange_first_1,338,0.5324629999995523,68,16.748768472906402
107,500,50,2,pdp_based,177,0.39694240000062564,interchange_first_1,154,81.37668440000016,23,12.994350282485875
108,100,10,2,pdp_based,390,0.0040948000005300855,interchange_first_1,371,0.34235009999974864,19,4.871794871794872
109,500,50,2,pdp_based,193,0.3669394000007742,interchange_first_1,161,61.549047399999836,32,16.580310880829018
110,100,10,2,pdp_based,440,0.0030370999993465375,interchange_first_1,354,0.6022551999994903,86,19.545454545454547
111,500,50,2,pdp_based,173,0.4081588000008196,interchange_first_1,159,69.38432789999933,14,8.092485549132949
112,100,10,2,pdp_based,414,0.003037999998923624,interchange_first_1,365,0.5390888000001723,49,11.83574879227053
113,500,50,2,pdp_based,181,0.3665925999994215,interchange_first_1,161,53.58920229999967,20,11.049723756906078
114,100,10,2,pdp_based,392,0.003096600001299521,interchange_first_1,372,0.310451399998783,20,5.1020408163265305
115,500,50,2,pdp_based,185,0.40203139999903215,interchange_first_1,160,60.757773799999995,25,13.513513513513514
116,100,10,2,pdp_based,420,0.005119399998875451,interchange_first_1,339,0.8211190000001807,81,19.28571428571429
117,500,50,2,pdp_based,175,0.4490937999999005,interchange_first_1,161,53.04335709999941,14,8.0
118,100,10,2,pdp_based,409,0.0040108000011969125,interchange_first_1,333,0.7123885000000882,76,18.581907090464547
119,500,50,2,pdp_based,187,0.3968148000003566,interchange_first_1,170,62.372961200000645,17,9.090909090909092
120,100,10,3,pdp_based,550,0.0037069999998493586,interchange_first_1,434,0.9452469000007113,116,21.09090909090909
121,500,50,3,pdp_based,213,0.4032360000001063,interchange_first_1,190,113.49186069999996,23,10.7981220657277
122,100,10,3,pdp_based,571,0.006062100001145154,interchange_first_1,445,1.7169295999992755,126,22.066549912434326
123,500,50,3,pdp_based,231,0.397705199999109,interchange_first_1,188,133.80204840000079,43,18.614718614718615
124,100,10,3,pdp_based,557,0.0034524000002420507,interchange_first_1,483,0.5973820999988675,74,13.285457809694792
125,500,50,3,pdp_based,227,0.3837474000010843,interchange_first_1,187,106.08721329999935,40,17.62114537444934
126,100,10,3,pdp_based,587,0.003121800000371877,interchange_first_1,496,0.5557649999991554,91,15.502555366269167
127,500,50,3,pdp_based,219,0.35332689999995637,interchange_first_1,193,110.61550809999972,26,11.87214611872146
128,100,10,3,pdp_based,580,0.0038592000000789994,interchange_first_1,438,0.989781899999798,142,24.482758620689655
129,500,50,3,pdp_based,220,0.3667626999995264,interchange_first_1,197,102.43361560000085,23,10.454545454545453
130,100,10,3,pdp_based,539,0.006873100001030252,interchange_first_1,471,0.6892277999995713,68,12.615955473098332
131,500,50,3,pdp_based,200,0.36035090000041237,interchange_first_1,200,79.5565960999993,0,0.0
132,100,10,3,pdp_based,526,0.0031596000007994007,interchange_first_1,495,0.31746150000071793,31,5.893536121673003
133,500,50,3,pdp_based,205,0.3570393999998487,interchange_first_1,196,85.65004080000108,9,4.390243902439024
134,100,10,3,pdp_based,571,0.0038908999995328486,interchange_first_1,487,0.5172471000005316,84,14.711033274956216
135,500,50,3,pdp_based,209,0.4007148999990022,interchange_first_1,189,133.4408274999987,20,9.569377990430622
136,100,10,3,pdp_based,548,0.003619899998739129,interchange_first_1,453,0.6216479000013351,95,17.335766423357665
137,500,50,3,pdp_based,209,0.374219000001176,interchange_first_1,202,93.82847660000152,7,3.349282296650718
138,100,10,3,pdp_based,561,0.003194900000380585,interchange_first_1,474,0.3571563999994396,87,15.508021390374333
139,500,50,3,pdp_based,231,0.3330158000007941,interchange_first_1,198,100.50059469999906,33,14.285714285714285
140,100,10,3,pdp_based,513,0.0033029000005626585,interchange_first_1,438,1.43575090000013,75,14.619883040935672
141,500,50,3,pdp_based,219,0.29656989999966754,interchange_first_1,196,73.24435790000098,23,10.50228310502283
142,100,10,3,pdp_based,544,0.0031159999998635612,interchange_first_1,465,0.6356994999987364,79,14.522058823529413
143,500,50,3,pdp_based,227,0.29499069999837957,interchange_first_1,203,77.12719419999848,24,10.572687224669604
144,100,10,3,pdp_based,513,0.0032733999996708008,interchange_first_1,439,0.31044680000013614,74,14.42495126705653
145,500,50,3,pdp_based,215,0.29565790000015113,interchange_first_1,184,98.0353828999996,31,14.418604651162791
146,100,10,3,pdp_based,513,0.003104900000835187,interchange_first_1,510,0.2117500000003929,3,0.5847953216374269
147,500,50,3,pdp_based,201,0.3511012999988452,interchange_first_1,188,102.24329519999992,13,6.467661691542288
148,100,10,3,pdp_based,555,0.003174800000124378,interchange_first_1,500,0.22848449999946752,55,9.90990990990991
149,500,50,3,pdp_based,211,0.3057604000005085,interchange_first_1,191,72.52627799999937,20,9.47867298578199
150,100,10,3,pdp_based,530,0.0035302000014780788,interchange_first_1,453,0.5055406999999832,77,14.528301886792452
151,500,50,3,pdp_based,228,0.32338270000036573,interchange_first_1,194,76.29018499999984,34,14.912280701754385
152,100,10,3,pdp_based,551,0.003287399998953333,interchange_first_1,461,0.8532254999990982,90,16.33393829401089
153,500,50,3,pdp_based,199,0.30608010000105423,interchange_first_1,185,97.42814720000024,14,7.035175879396985
154,100,10,3,pdp_based,534,0.0035267999992356636,interchange_first_1,460,0.9115166000010504,74,13.857677902621724
155,500,50,3,pdp_based,211,0.34357879999879515,interchange_first_1,193,73.73224980000123,18,8.530805687203792
156,100,10,3,pdp_based,503,0.0033691999997245148,interchange_first_1,470,0.519171699999788,33,6.560636182902585
157,500,50,3,pdp_based,229,0.33659310000075493,interchange_first_1,194,71.72016499999881,35,15.283842794759824
158,100,10,3,pdp_based,520,0.003180699999575154,interchange_first_1,431,0.9405504000005749,89,17.115384615384617
159,500,50,3,pdp_based,211,0.301415599999018,interchange_first_1,186,139.42313920000015,25,11.848341232227488
